Acronim_Departament,Any,Kind,Cont
EQ,2013,Tesis doctorals,15
EQ,2014,Tesis doctorals,18
EQ,2015,Tesis doctorals,19
EQ,2016,Tesis doctorals,24
EQ,2017,Tesis doctorals,17
EQ,2018,Tesis doctorals,12
EQ,2019,Tesis doctorals,24
EQ,2020,Tesis doctorals,8
EQ,2021,Tesis doctorals,15
ESAII,2013,Tesis doctorals,13
ESAII,2014,Tesis doctorals,15
ESAII,2015,Tesis doctorals,16
ESAII,2016,Tesis doctorals,18
ESAII,2017,Tesis doctorals,17
ESAII,2018,Tesis doctorals,22
ESAII,2019,Tesis doctorals,13
ESAII,2020,Tesis doctorals,15
ESAII,2021,Tesis doctorals,16
FIS,2013,Tesis doctorals,0
FIS,2014,Tesis doctorals,0
FIS,2015,Tesis doctorals,7
FIS,2016,Tesis doctorals,20
FIS,2017,Tesis doctorals,13
FIS,2018,Tesis doctorals,16
FIS,2019,Tesis doctorals,21
FIS,2020,Tesis doctorals,19
FIS,2021,Tesis doctorals,18
MAT,2013,Tesis doctorals,0
MAT,2014,Tesis doctorals,0
MAT,2015,Tesis doctorals,2
MAT,2016,Tesis doctorals,17
MAT,2017,Tesis doctorals,18
MAT,2018,Tesis doctorals,8
MAT,2019,Tesis doctorals,12
MAT,2020,Tesis doctorals,14
MAT,2021,Tesis doctorals,21
TSC,2013,Tesis doctorals,221
TSC,2014,Tesis doctorals,217
TSC,2015,Tesis doctorals,168
TSC,2016,Tesis doctorals,186
TSC,2017,Tesis doctorals,169
TSC,2018,Tesis doctorals,177
TSC,2019,Tesis doctorals,138
TSC,2020,Tesis doctorals,100
TSC,2021,Tesis doctorals,98
